N,P,K,temperature,humidity,ph,rainfall,label
99.0,36.0,20.0,20.682403026661934,65.42400451211427,6.593456499646839,78.34331816013518,maize
77.0,36.0,23.0,24.814463201748836,56.760773766543885,6.6479343350429625,88.47426135872762,maize
87.0,60.0,23.0,20.214294940874808,63.89940700154384,6.530086986155746,62.51423345753497,maize
60.0,38.0,17.0,18.14498717350167,64.0874133313541,6.2576758667656485,76.44797232101728,maize
94.0,54.0,17.0,23.3045448792984,61.97264950575779,5.900426927534362,107.35233968900594,maize
95.0,38.0,22.0,19.883055438638127,61.45334294788792,5.597446210541237,100.53628772835381,maize
84.0,44.0,21.0,21.890368236206694,61.969203132941374,5.934770782357521,107.31733241413589,maize
77.0,58.0,19.0,22.609337602209628,56.468271888595,5.851001625561627,101.72321871647013,maize
66.0,44.0,20.0,19.31137433672006,69.32026347807125,6.648548281254779,80.75788544450134,maize
63.0,35.0,16.0,21.833105683164302,65.44170750708174,6.1452522480249065,83.74799424945338,maize
79.0,45.0,20.0,23.698052131970353,59.142451650386654,5.640477847396699,90.05244752471656,maize
72.0,60.0,25.0,18.617285055842547,69.06346020798793,5.823412812936404,88.17188852650747,maize
67.0,51.0,24.0,23.472900227717364,61.42608839965429,5.707916762560428,64.93859228013567,maize
86.0,36.0,24.0,26.43136085761401,72.893103915245,5.727027603186573,73.52441341675735,maize
76.0,48.0,18.0,19.41609591465384,69.62142583499521,5.7868320166009175,83.16320862490737,maize
75.0,53.0,18.0,20.6282350384515,59.36870260991559,6.736775865583827,103.53470646439904,maize
81.0,45.0,23.0,19.236146411414765,67.88604030652874,6.058403588883983,84.28386999469062,maize
73.0,45.0,21.0,24.606968008471828,73.59924311415857,6.781784680660628,96.52834845357042,maize
71.0,35.0,24.0,22.38190333293967,59.37364246108449,5.691258546507779,68.0534983694224,maize
96.0,54.0,22.0,25.858558281619437,61.446051497158265,6.987672360349649,83.08057281156978,maize
99.0,39.0,18.0,19.178172406031475,68.3333060786888,6.06866923330872,87.92457592020416,maize
62.0,48.0,20.0,21.666316515975975,60.45966956254609,6.73939658221395,95.68452436600037,maize
86.0,37.0,16.0,20.51323712559119,59.09225617114514,5.475666044534151,67.7190994997257,maize
94.0,50.0,19.0,23.36057148818895,73.78882238180209,5.783894494239329,97.57493170898445,maize
76.0,39.0,24.0,24.272378592594716,55.68479101654092,7.088235355712028,64.16805050037902,maize
77.0,52.0,17.0,24.94583050593786,65.74510732703546,5.752371603186936,75.96700482226647,maize
74.0,39.0,23.0,22.81507149951889,65.60989032109224,6.711746129835863,88.15173093254009,maize
81.0,49.0,20.0,18.075367678942296,60.57215008689608,5.600822337183582,104.19794821172063,maize
63.0,42.0,21.0,23.235552632155,72.17115809951066,5.542934443226771,67.06581989898235,maize
99.0,38.0,21.0,22.89997512332244,71.5335264434456,6.450833075698385,67.79605257300709,maize
90.0,52.0,25.0,25.931631047374573,69.16988084885432,6.821375529917772,103.22526154689346,maize
68.0,40.0,19.0,26.24586471534872,66.19079448819478,6.675709965836643,107.17496113754254,maize
60.0,57.0,24.0,18.46228753960594,61.471056009753816,6.060375629846263,75.09428193520532,maize
71.0,52.0,18.0,25.18813769453948,56.040622647174445,5.613323101383604,78.02642244183393,maize
61.0,59.0,17.0,23.384456336510386,59.25219744385204,6.361223036077112,105.02011892078775,maize
88.0,38.0,15.0,25.117431404005316,65.86419669696772,6.360026823355969,62.453190839361305,maize
65.0,60.0,22.0,25.255686120744592,72.63398949731031,6.577539662042425,108.00858303264097,maize
78.0,37.0,22.0,25.387105865530685,63.200257960906924,6.468112381869244,74.57196012593808,maize
78.0,58.0,15.0,24.962511348618442,67.89276158879915,6.583659610103023,63.12066936344333,maize
92.0,60.0,23.0,18.71188304379085,71.67661937481952,5.714159681215778,69.7613183559501,maize
79.0,59.0,17.0,20.542967532587767,63.86362975295533,6.630479475663124,108.56422287066162,maize
91.0,55.0,15.0,18.06344382792337,72.6239171828079,6.342871423918187,78.928620983445,maize
76.0,51.0,18.0,26.162343019532894,72.00711796163694,6.25151614145934,79.87555897233484,maize
87.0,48.0,25.0,18.71001158168848,61.275339867855664,6.520860916316025,93.71121465865738,maize
71.0,60.0,22.0,26.007029647886608,59.39151176571603,6.127891420975662,85.76616298418423,maize
90.0,57.0,24.0,19.08764604641057,72.6059260816333,6.146189265796494,82.34942933546259,maize
67.0,35.0,22.0,23.249474967002993,63.222457817561654,6.24686872134238,108.64027977848377,maize
60.0,54.0,19.0,18.967087014986223,62.4372522017129,6.346367738799191,70.10635932225796,maize
83.0,58.0,23.0,19.73617548916972,59.68439676107945,6.402025131354903,65.46310313240421,maize
83.0,57.0,19.0,25.693492195702536,70.86001729788033,6.702505092011899,98.90146616402417,maize
71.0,54.0,16.0,22.52623165756244,63.66979518728531,5.723776009526681,87.79760619336696,maize
61.0,44.0,17.0,26.072652154392554,71.53273530534726,6.966896122927613,102.31850159850183,maize
80.0,43.0,16.0,23.659352928316444,71.7118531920201,6.6192981271254645,66.59447806246553,maize
73.0,58.0,21.0,20.14439600230364,57.71141024399736,6.516727370419316,60.69275514145465,maize
61.0,38.0,20.0,18.48608052907222,62.696988603750796,5.867056767025616,65.58136201051308,maize
68.0,41.0,16.0,21.74239055521889,57.76535370026348,6.013593608627499,102.08549220613803,maize
93.0,41.0,17.0,25.632377089458075,66.31768244308849,5.958947180443108,105.22233926549428,maize
89.0,60.0,19.0,25.320056282141795,66.68596515492378,6.001702620794669,78.11988425598128,maize
76.0,44.0,17.0,20.420424723020673,62.76378458198537,5.965779035268214,65.33644406329962,maize
67.0,60.0,25.0,25.010353605431998,66.8467180240695,5.861803042544167,109.29926577573985,maize
70.0,44.0,19.0,23.35276479892099,73.38223299262759,5.939497652379422,94.35817991853375,maize
90.0,49.0,21.0,24.505193128086503,68.4289122308342,6.589375515278573,74.1453085013708,maize
62.0,52.0,16.0,22.331319191832574,58.82115137845558,6.75642789125355,63.932126365570625,maize
92.0,44.0,16.0,18.952845734343835,65.69168905813186,5.7657272231475,94.99312507424801,maize
66.0,54.0,21.0,25.09661062394046,60.09049615820356,5.982572017421769,72.13289589799341,maize
63.0,58.0,22.0,18.139876780280545,55.28122095670706,6.29723278794656,63.81215826308172,maize
70.0,47.0,17.0,24.54226809931153,70.24897226573721,6.730462587590218,104.14618721718234,maize
61.0,41.0,17.0,25.148309580418722,65.39319537458866,5.884216547598566,76.65751854539054,maize
66.0,53.0,19.0,23.071305243333484,60.26804894203241,5.98556879264918,65.47107500037647,maize
74.0,55.0,19.0,18.10283090747834,62.85484559025633,6.418608733968629,84.22937774031892,maize
77.0,57.0,21.0,24.96451996511035,73.90115900354434,6.456739764578465,79.83332362027465,maize
99.0,50.0,15.0,18.19805799608872,71.12088474751866,5.540458458297467,88.12695828050101,maize
74.0,56.0,22.0,18.15542333896626,66.75113970131342,6.974391979580865,80.82009964548116,maize
83.0,45.0,21.0,18.811668585457426,58.903926515718425,5.771966396429819,79.68723925559578,maize
100.0,48.0,16.0,25.71743834380425,67.23237291006077,5.399111440521618,74.4738615275371,maize
79.0,51.0,16.0,25.398294892230297,68.42356880904126,6.462132916394695,96.35267915505842,maize
94.0,39.0,18.0,23.784092313048255,57.51698973957279,6.085492382613595,102.8228957556264,maize
75.0,49.0,15.0,21.55888040812301,71.45070325754507,5.851005220197373,102.62048854675159,maize
78.0,48.0,22.0,23.07732972212462,63.155300158311256,5.545912697544798,70.50328372248937,maize
87.0,54.0,20.0,25.55318621278148,63.416028301857395,6.5740668959148385,108.81571905378391,maize
87.0,35.0,25.0,21.35648145863966,63.05526732305828,6.155667186999421,65.86600883757144,maize
63.0,43.0,19.0,18.513167841052432,55.429659334792966,6.593475366687269,90.82739816007552,maize
84.0,57.0,25.0,22.48976931563912,68.13699410614406,6.64414901647968,64.31303082358798,maize
64.0,35.0,23.0,22.91490643439119,61.87893723052418,5.530880946861562,63.101686991245565,maize
60.0,46.0,22.0,25.199251691825246,65.80341905669927,6.585342034683593,87.88832948112213,maize
98.0,44.0,21.0,25.854295578623407,74.0641844121326,6.64129726452568,107.59806313474333,maize
75.0,56.0,18.0,19.563540355567035,62.4852728963626,5.601319622911758,60.797393524328484,maize
86.0,55.0,21.0,21.590180800086188,59.61957521949193,6.7532052077226234,109.96970771511297,maize
98.0,35.0,18.0,24.02219311558853,74.69913034681792,6.194816666900333,91.79876968679103,maize
76.0,57.0,18.0,18.698750899697604,74.62734834809696,6.29346524054085,94.24734691817591,maize
99.0,56.0,17.0,24.00960891901843,73.13999015502154,6.2719052874015455,71.0319221235561,maize
60.0,44.0,23.0,24.82275354733009,70.06182983544474,5.959341730523548,76.85429542752955,maize
74.0,48.0,17.0,21.694409197926664,60.21349314227457,6.4740246728730195,69.10632032141726,maize
89.0,60.0,17.0,25.279697564840728,57.28193602835496,5.80217777762502,101.66435639642026,maize
69.0,51.0,23.0,22.07835195194782,72.8912815660403,6.740605973452984,106.75813346716804,maize
96.0,46.0,22.0,20.619183976807342,68.82113840548924,6.4247747266581845,66.2950340352289,maize
61.0,60.0,15.0,24.83891944168055,68.5909194804693,6.522560955127177,91.19823437459598,maize
74.0,58.0,18.0,20.018542709532202,56.32578447916865,6.661566654329535,108.9241962007437,maize
74.0,43.0,23.0,25.928619982234064,61.74855441827748,6.327914909744277,99.60248986126976,maize
63.0,43.0,17.0,19.101134100699475,65.41813759740718,6.814881895345648,71.2462948089658,maize
99.0,36.0,20.0,20.54902021441219,65.35432631538414,6.874503500640054,78.3020916614337,maize
77.0,36.0,23.0,24.680810348486535,56.89618215726595,6.72175467612812,88.62032742691278,maize
87.0,60.0,23.0,20.351187952849095,63.67980060618193,6.438845176258977,62.48584244845346,maize
60.0,38.0,17.0,18.520862723720867,64.47793592217576,6.520434380417618,76.41793263112118,maize
94.0,54.0,17.0,23.408253534186525,61.70380814130786,5.975359182015364,107.49701494610494,maize
95.0,38.0,22.0,19.920955271723095,61.144774282606086,5.851847808881869,101.02550239991696,maize
84.0,44.0,21.0,21.6722239450808,61.84423102477237,5.761993718281915,107.26896253257101,maize
77.0,58.0,19.0,22.86784765991067,56.52904093141452,5.8361855765240085,101.28252914367529,maize
66.0,44.0,20.0,19.038020366683263,69.1276092805153,6.646361822600229,80.69780410721,maize
63.0,35.0,16.0,21.972342790276908,65.39268663677798,6.3998948078482805,83.74700488994411,maize
79.0,45.0,20.0,23.718228589189106,59.45457988652418,5.63007115077154,89.91857634370096,maize
72.0,60.0,25.0,18.510203544284405,68.74811298343778,5.802921718531734,88.11297195022435,maize
67.0,51.0,24.0,23.405338565913073,61.2095454779154,5.718351920513107,64.70812306891702,maize
86.0,36.0,24.0,26.578271306441355,72.91329316222408,5.747189429472457,73.429750103508,maize
76.0,48.0,18.0,19.414103016855805,69.7078705733276,5.804650272541209,83.29072245506613,maize
75.0,53.0,18.0,20.793547867441745,59.390818461610785,6.802300332184721,103.61308911033352,maize
81.0,45.0,23.0,19.438113272082138,67.97726819132579,6.067512740122038,84.22565317972402,maize
73.0,45.0,21.0,24.650893818999872,73.87501060812967,6.679612126881441,96.4494576817375,maize
71.0,35.0,24.0,22.393868297278658,59.541123761664686,5.650050734701977,68.13347285434949,maize
96.0,54.0,22.0,25.6960205722642,61.08580503517058,6.914526068756669,83.35892007750681,maize
99.0,39.0,18.0,19.169714060088605,68.37417933676994,6.183648945386226,87.73177108728498,maize
62.0,48.0,20.0,21.663480768367116,60.45473736200675,6.5537087187958525,95.71508558328111,maize
86.0,37.0,16.0,20.471682947083902,59.18755946409454,5.790556048340663,67.7914703240834,maize
94.0,50.0,19.0,23.206967394129133,73.81910322416145,5.949917408586129,97.52715142652183,maize
76.0,39.0,24.0,24.286902929882704,55.64586251730112,7.1259839294386875,64.37185360415576,maize
77.0,52.0,17.0,24.763083798996316,65.57529057757338,5.619542860314148,75.69829729247914,maize
74.0,39.0,23.0,22.594889706926043,65.79229821727837,6.752880707561413,88.10682483150073,maize
81.0,49.0,20.0,17.821530689157985,60.65952399207763,5.65081064925544,103.8355316824733,maize
63.0,42.0,21.0,23.245406833277347,72.45245746060296,5.7445829564009605,67.15382725636132,maize
99.0,38.0,21.0,22.917335356859898,71.6067276499811,6.260044158892764,67.52044936354594,maize
90.0,52.0,25.0,26.191668173752795,69.3198496748617,7.007197130731827,103.28562164564748,maize
68.0,40.0,19.0,26.023610267260135,66.32037798328163,6.691006193903247,107.33586575813152,maize
60.0,57.0,24.0,18.589095948378823,61.442816456888934,6.234678699650639,75.0211317646966,maize
71.0,52.0,18.0,25.117356942179473,55.97340903183453,5.845961612464615,78.12058151396704,maize
61.0,59.0,17.0,23.38007837543489,59.196391211596286,6.493171507882745,104.80661338268519,maize
88.0,38.0,15.0,25.112770521664846,65.8804760638394,6.6403221574886,62.393415294923486,maize
65.0,60.0,22.0,25.153832010309635,72.48878597516378,6.677429912350436,107.88455365836448,maize
78.0,37.0,22.0,25.096664540712304,63.30711879120589,6.200705445236996,74.49491303325182,maize
78.0,58.0,15.0,25.045017940333754,67.68235290648579,6.4323507720898085,62.92521898409487,maize
92.0,60.0,23.0,18.837268208790604,71.44910556799603,5.742622975508156,70.01299017135808,maize
79.0,59.0,17.0,20.400216625641963,63.57210660055255,6.565726616766795,108.29259532763872,maize
91.0,55.0,15.0,17.963585336435205,72.62645752507063,6.403073852781061,78.94764893523971,maize
76.0,51.0,18.0,26.180925704179494,71.9005578501174,6.25601246524128,79.76046970897835,maize
87.0,48.0,25.0,18.67359781432477,61.36434715573271,6.679641093612331,93.71525261342902,maize
71.0,60.0,22.0,26.073895448189557,59.17134809788723,6.306777327295247,85.74423350556793,maize
90.0,57.0,24.0,19.022854822923055,73.06501188280713,5.918429837137754,82.2860342505068,maize
67.0,35.0,22.0,23.42856300832724,63.31712376106251,6.4974502347924235,108.88803651196106,maize
60.0,54.0,19.0,18.66546545757604,62.48452865789139,6.552381187732846,70.20306201653904,maize
83.0,58.0,23.0,19.627035800991425,59.6652865448724,6.336102143347057,65.29128445128104,maize
83.0,57.0,19.0,25.679382802810988,70.72521224679552,6.7868736154983775,98.73084572114763,maize
71.0,54.0,16.0,22.688246161098895,63.827192300809166,5.79373972663554,87.74248297103956,maize
61.0,44.0,17.0,26.110042026501574,71.86546493373432,7.050725580722442,102.31731660396986,maize
80.0,43.0,16.0,23.610244516517124,71.58835156736616,6.652595720147477,66.53879589076352,maize
73.0,58.0,21.0,20.0534028233231,57.66540768913131,6.576376176546621,60.47854532605477,maize
61.0,38.0,20.0,18.54588331727771,62.82492523260208,6.14115032472542,65.39074215183508,maize
68.0,41.0,16.0,21.74136835654196,57.64876640551036,6.197901053827495,102.15804827718414,maize
93.0,41.0,17.0,25.627512034375687,66.60297511454762,5.98911177891171,105.33466782084216,maize
89.0,60.0,19.0,25.081948221089377,66.7255611541722,5.808009448926595,77.99834639932003,maize
76.0,44.0,17.0,20.459780021178982,62.51745452197725,5.780862407642081,65.27901840809083,maize
67.0,60.0,25.0,24.726332328970205,66.89592043396496,5.464746766627589,109.01741348570906,maize
70.0,44.0,19.0,23.39973620682036,73.32125087703676,5.876811941009393,94.2914669060516,maize
90.0,49.0,21.0,24.876048525209093,68.39351731209385,6.269273231681027,74.00482715182706,maize
62.0,52.0,16.0,22.21065372169229,58.716506608608356,6.988655338876788,63.96166505253005,maize
92.0,44.0,16.0,18.951989545045674,65.7650056406536,6.002966590260173,94.76239607325742,maize
66.0,54.0,21.0,25.36815168840549,60.17407080781005,6.046935098720442,72.14630829096778,maize
63.0,58.0,22.0,18.4239644142048,55.35313207506542,6.195804169434408,63.71106567157027,maize
70.0,47.0,17.0,24.531995575310702,70.4872099864968,6.605127165575472,104.1731882015517,maize
61.0,41.0,17.0,25.090869759784272,65.24375448543235,6.0633351570792895,76.63254949908028,maize
66.0,53.0,19.0,22.98301178365834,60.111083561147026,6.005303615297429,65.43541880691944,maize
74.0,55.0,19.0,18.05458734619664,62.983540502759155,6.539209941456898,84.24858214713728,maize
77.0,57.0,21.0,24.616661393046186,73.61149546476368,6.4028891921891,79.84596395721296,maize
99.0,50.0,15.0,18.181671073809767,70.9564903587605,5.745346541686694,88.24164150799035,maize
74.0,56.0,22.0,18.209441846859608,66.49862229968656,6.719325955086346,80.979116211687,maize
83.0,45.0,21.0,18.716230526539793,58.7603092032518,5.923953935138195,79.77675572010429,maize
100.0,48.0,16.0,25.634426248240594,67.22248032881718,5.611850966171155,74.38897654602444,maize
79.0,51.0,16.0,25.481584612754233,68.48944456382239,6.600723433035087,96.43196038520033,maize
94.0,39.0,18.0,23.92606612991364,57.52122524565882,5.907169062658661,102.75220128995923,maize
75.0,49.0,15.0,21.273009533367222,71.59076303712382,5.835729587001205,102.63720295420302,maize
78.0,48.0,22.0,22.98066871243668,63.366995768438905,5.437096464956043,70.48116810635818,maize
87.0,54.0,20.0,25.562762792705357,63.58880236194287,6.567265442627352,108.84739305942921,maize
87.0,35.0,25.0,21.473563028993784,63.1015431599401,6.1476310054108305,65.81784419337235,maize
63.0,43.0,19.0,18.414479335675576,55.568401924950486,6.71992880261305,90.91787526154397,maize
84.0,57.0,25.0,22.254374335143815,68.03498018373107,6.4665195293494016,64.32275349544699,maize
64.0,35.0,23.0,23.02465481744989,61.996771511549085,5.627228534364797,63.05730055824251,maize
60.0,46.0,22.0,24.76314497634045,65.6848918767597,6.616047416818455,87.67997951085276,maize
98.0,44.0,21.0,25.600178189913358,74.10271098631166,6.687777560274216,107.53173619448594,maize
75.0,56.0,18.0,19.567570454460142,62.27367431778476,5.622716471357756,60.6515212526085,maize
86.0,55.0,21.0,21.474515313759895,59.68407473167862,6.91097868572234,109.69699877067418,maize
98.0,35.0,18.0,23.675689766082854,74.91656389910472,6.304651670988896,91.83288862749417,maize
76.0,57.0,18.0,19.03529441782764,74.43782334860357,5.953115550942696,94.32274542839278,maize
99.0,56.0,17.0,24.18173309995794,73.05150987039927,6.288090241155089,71.23626393692044,maize
60.0,44.0,23.0,24.82164142717069,69.91121264771846,5.687796929956041,76.76232105356401,maize
74.0,48.0,17.0,21.655613469329456,60.261605267646225,6.570705392125145,69.17243496165247,maize
89.0,60.0,17.0,25.351006419511336,57.1532736623246,5.7895831068316514,101.86480155605138,maize
69.0,51.0,23.0,21.963962097621238,72.78580352629847,6.729682540856657,106.57511520111824,maize
96.0,46.0,22.0,20.72743573322317,69.14730680287427,6.477567785149569,66.36171913937363,maize
61.0,60.0,15.0,24.901112763362292,68.79825491128787,6.186018742248042,91.18277988909908,maize
74.0,58.0,18.0,19.926228220340633,56.18058125686614,6.680441716890878,108.9766503719553,maize
74.0,43.0,23.0,25.915024105049053,61.98475689387137,6.36764432264621,99.63381157427654,maize
63.0,43.0,17.0,19.194767257527992,65.43252507456369,6.580345367864787,71.36784628927582,maize
99.0,36.0,20.0,20.647962606659323,65.42579436872141,6.604382840235779,78.35184499150542,maize
77.0,36.0,23.0,24.917462135734983,56.82566129256481,6.8095927679443955,88.5072745347095,maize
87.0,60.0,23.0,20.352037219535354,63.92826235481429,6.3815288655529905,62.57910572510093,maize
60.0,38.0,17.0,18.49328229784361,64.2421003950528,6.55426807284084,76.08072426469037,maize
94.0,54.0,17.0,23.304858163540022,61.771418698761764,5.906777181037056,107.37666437294548,maize
95.0,38.0,22.0,19.665284734117694,61.112125300200034,5.811772045957233,100.80023850660719,maize
84.0,44.0,21.0,21.80741508275687,62.01889924059861,5.930215884130927,107.25155886330025,maize
77.0,58.0,19.0,22.90463976243084,56.581449703997805,5.861744672144763,101.69335556766387,maize
66.0,44.0,20.0,19.006139482716325,68.97200042169288,6.7063531316229215,80.82584720547959,maize
63.0,35.0,16.0,21.95188980520395,65.39371808106547,6.1641664860291305,83.80784318676082,maize
79.0,45.0,20.0,23.74236824938147,59.22517419601779,5.666804218132953,90.01809385087287,maize
72.0,60.0,25.0,18.505271072796628,69.02926553243354,5.757965225824645,88.07366065617448,maize
67.0,51.0,24.0,23.537286044142473,61.11508072344958,5.645397273921016,64.67326913420588,maize
86.0,36.0,24.0,26.38690844053182,73.14098269674895,5.983370739243332,73.39070812018129,maize
76.0,48.0,18.0,19.238147215262117,69.62597197560316,5.84842249256906,82.95860432674193,maize
75.0,53.0,18.0,20.540742664495152,59.425337210998556,6.925966675848954,103.66028517231202,maize
81.0,45.0,23.0,19.322594168306555,67.98866625346626,6.1849611346187885,84.14089991994172,maize
73.0,45.0,21.0,24.601380501766275,73.64747847612475,6.626163487836679,96.56431464609001,maize
71.0,35.0,24.0,22.31457753567574,59.646715830428946,5.894680771664253,68.05720424322917,maize
96.0,54.0,22.0,25.566548827536607,61.443366747311025,7.025018318105839,83.20336240958372,maize
99.0,39.0,18.0,19.253087015381904,68.26794423360354,5.934828918417536,87.76039166530778,maize
62.0,48.0,20.0,21.716640082844165,60.386319195319714,6.557166169507026,95.62603389111865,maize
86.0,37.0,16.0,20.370053640265308,59.29558617498213,5.411254360319066,67.53937688828334,maize
94.0,50.0,19.0,23.225229183099753,73.57472353664748,5.925643887015173,97.53444424768995,maize
76.0,39.0,24.0,24.338722609804226,55.717227169323856,7.144858763289791,64.23768625096372,maize
77.0,52.0,17.0,24.925014482750328,65.69378930081429,5.80533017506003,75.74534127286398,maize
74.0,39.0,23.0,22.657245885360872,65.75825908231916,6.798229242036172,88.20027989730308,maize
81.0,49.0,20.0,17.985229001067303,60.41047432410113,5.600891130303995,104.25145108130398,maize
63.0,42.0,21.0,23.435791094854885,72.30075729756548,5.7689266543543765,67.05802581238729,maize
99.0,38.0,21.0,22.981187921374936,71.64776078969633,6.389142100044179,67.51100099469318,maize
90.0,52.0,25.0,26.132002962219428,69.26227162150762,6.919249801114642,103.2479363263427,maize
68.0,40.0,19.0,26.270043655022008,66.07940747397062,6.716955370076286,107.2631424868516,maize
60.0,57.0,24.0,18.850167107133576,61.502611256168855,6.018955412440443,75.09842892078463,maize
71.0,52.0,18.0,25.087633611331004,56.020584198672715,5.611804891985048,78.2603083098905,maize
61.0,59.0,17.0,23.341708146759217,59.29116598769548,6.366553982529928,105.12634081285118,maize
88.0,38.0,15.0,25.115628423148042,65.95095459407796,6.482047393774882,62.4572023569186,maize
65.0,60.0,22.0,25.311662615060154,72.45274144477061,6.716987972352228,107.96566261375128,maize
78.0,37.0,22.0,25.4100824590108,63.32725055900689,6.316791333922746,74.51204823961099,maize
78.0,58.0,15.0,25.045933559411658,67.89457408339037,6.557068996106432,63.16107470728524,maize
92.0,60.0,23.0,18.81484112047371,71.60791725329123,5.681345918871649,69.80436453781255,maize
79.0,59.0,17.0,20.42835429359441,63.836340962800286,6.733882504435719,108.51826159543567,maize
91.0,55.0,15.0,18.145251499685646,72.63706697907436,6.493508696566033,79.05325473236802,maize
76.0,51.0,18.0,26.224666754128517,71.91246274568537,6.1860808179285,79.80486186807184,maize
87.0,48.0,25.0,18.75967941133822,61.491086558651226,6.629101545647238,93.63112397522906,maize
71.0,60.0,22.0,26.151407830189537,59.45497650740827,6.237637966496413,85.80660828930075,maize
90.0,57.0,24.0,18.890501729496062,72.69448261083404,6.146783482252472,82.31861176269986,maize
67.0,35.0,22.0,23.299121136063867,63.325074562936635,6.410047222038883,108.73653043395824,maize
60.0,54.0,19.0,18.94036034877781,62.41171870826907,6.257105812163582,70.24526532487984,maize
83.0,58.0,23.0,19.81961304910322,59.42637863681805,6.392610003625992,65.63850974409719,maize
83.0,57.0,19.0,25.705202508438738,70.72858852316752,6.777640532571894,98.80620386622782,maize
40.0,72.0,77.0,17.02498456,16.98861173,7.485996067,88.55123143,chickpea
23.0,72.0,84.0,19.02061277,17.13159126,6.920251378,79.92698081,chickpea
39.0,58.0,85.0,17.88776475,15.40589717,5.9969320370000005,68.54932919,chickpea
22.0,72.0,85.0,18.86805647,15.65809214,6.391173589,88.51048983,chickpea
36.0,67.0,77.0,18.36952567,19.56381041,7.152811172000001,79.26357665,chickpea
32.0,73.0,81.0,20.45078582,15.40312102,5.988992796000002,92.68373702,chickpea
58.0,70.0,84.0,20.6543203,16.60820843,6.231049027999999,74.6631118,chickpea
59.0,70.0,84.0,17.3348681,18.74926979,7.550808267000001,82.61734721,chickpea
42.0,62.0,75.0,18.17912258,18.90426935,7.010570541,81.84997529,chickpea
28.0,74.0,81.0,18.01272266,18.30968112,8.753795334,81.98568791,chickpea
58.0,66.0,79.0,20.99373558,19.33470387,8.718192847000001,93.55280105,chickpea
43.0,66.0,79.0,19.46233971,15.22538951,7.976607593,74.58565097,chickpea
58.0,63.0,81.0,19.81344531,14.69765308,6.515499548999999,78.96514709,chickpea
23.0,62.0,85.0,18.97424756,19.5161216,8.490127142,80.7108745,chickpea
27.0,62.0,77.0,18.19737048,14.71070537,6.576415562,70.18185181,chickpea
28.0,72.0,84.0,18.72963144,19.18197264,6.481783042999999,71.58010169,chickpea
50.0,56.0,76.0,20.99502153,19.8601304,7.966605025,73.50734019,chickpea
39.0,71.0,84.0,20.28155898,16.39535215,8.140825437,82.52339655,chickpea
25.0,78.0,76.0,17.48042641,15.7559405,7.228963452,66.96980581,chickpea
31.0,70.0,77.0,20.88818675,14.32313811,6.492546046,90.46228334,chickpea
26.0,80.0,83.0,17.08498521,16.14565756,7.528599957000001,71.31007253,chickpea
25.0,68.0,77.0,20.09340593,15.11279612,7.701446446,85.74904898,chickpea
31.0,78.0,76.0,17.57212145,14.99927489,8.519975748,89.31050665,chickpea
60.0,68.0,83.0,19.12065218,18.43475844,6.620900869,85.52950164,chickpea
59.0,62.0,83.0,18.57665902,19.22008229,8.104396057999999,72.94940441,chickpea
22.0,67.0,78.0,17.16606398,14.42457525,6.204090835,72.32667516,chickpea
36.0,65.0,80.0,18.2872007,16.67921616,6.051091339,74.87445574,chickpea
59.0,60.0,84.0,19.03025305,18.66725565,7.690962337999999,94.70992037,chickpea
54.0,77.0,85.0,17.141861399999996,17.0662427,7.8292111439999985,83.74606679,chickpea
43.0,68.0,81.0,17.47809436,17.93253975,6.761599706,78.92060234,chickpea
28.0,76.0,82.0,20.56601874,14.25803981,6.654425315,83.75937135,chickpea
42.0,79.0,85.0,17.22385224,15.82069268,6.129533877,76.57580954,chickpea
32.0,60.0,83.0,19.69141713,19.44225438,8.829273328,91.76071648,chickpea
22.0,78.0,76.0,17.84851658,19.09172907,8.621662982,76.32470713,chickpea
31.0,79.0,75.0,18.8202251,16.1074793,8.204862075,89.73119396,chickpea
28.0,58.0,81.0,17.47500984,16.54314829,6.18042747,93.35034262,chickpea
57.0,58.0,77.0,18.72649425,17.58406365,7.978996755,81.20176515,chickpea
49.0,55.0,78.0,18.65580107,16.17772668,7.863113671,81.70769297,chickpea
46.0,76.0,77.0,18.2356751,19.68538502,6.967843048,83.74879344,chickpea
54.0,61.0,77.0,18.81198127,15.21618225,6.206582192999999,77.54294240000002,chickpea
38.0,60.0,76.0,18.65054116,17.80852431,8.868741443,77.92798682,chickpea
59.0,55.0,79.0,20.36720401,16.89574311,8.766128654,82.2545577,chickpea
36.0,76.0,75.0,18.38120357,16.63805158,8.736337905,70.52056697,chickpea
57.0,68.0,81.0,17.17012591,17.30457712,8.081095263,72.78624223,chickpea
35.0,66.0,81.0,19.37101121,15.77458129,6.138243973,85.24819851,chickpea
35.0,64.0,78.0,17.92845928,14.27327988,7.496645259,85.37378769,chickpea
52.0,60.0,79.0,19.45339934,18.23490739,8.380185271,75.6317566,chickpea
27.0,76.0,83.0,19.12829388,14.92241479,6.289614016,89.61857826,chickpea
57.0,60.0,84.0,19.1034283,17.26184541,6.586777189,75.49101167,chickpea
52.0,68.0,78.0,17.48504075,16.96070581,6.89655198,86.05078037,chickpea
43.0,79.0,79.0,19.40751744,18.98030507,7.8067476560000015,80.25064637,chickpea
44.0,74.0,85.0,20.18649426,19.63719995,7.150681303,78.26039559,chickpea
